Job Title,Company,Location,Salary,Rating
Data Analyst,Company E,Berlin,50000,5.0
Software Engineer,Company B,London,90000,4.0
Data Analyst,Company B,London,80000,5.0
Marketing Specialist,Company A,Berlin,70000,4.5
Software Engineer,Company B,New York,80000,3.0
Marketing Specialist,Company A,Singapore,80000,3.0
Marketing Specialist,Company D,London,50000,5.0
UX Designer,Company C,San Francisco,70000,3.0
Data Analyst,Company B,London,80000,4.0
Software Engineer,Company D,Berlin,60000,3.0
UX Designer,Company E,San Francisco,80000,3.5
Data Analyst,Company A,San Francisco,60000,4.5
UX Designer,Company C,Singapore,70000,4.0
UX Designer,Company C,Singapore,90000,4.0
Software Engineer,Company A,San Francisco,50000,3.5
Software Engineer,Company E,London,80000,3.0
Data Analyst,Company B,London,90000,4.5
UX Designer,Company D,London,50000,4.0
UX Designer,Company E,Singapore,80000,3.0
Financial Analyst,Company C,London,60000,5.0
Software Engineer,Company D,Singapore,70000,5.0
UX Designer,Company D,Berlin,90000,4.0
Marketing Specialist,Company E,Berlin,50000,3.0
UX Designer,Company A,Singapore,90000,3.0
Marketing Specialist,Company B,Singapore,80000,4.0
Financial Analyst,Company A,Singapore,90000,5.0
Marketing Specialist,Company D,London,50000,3.5
Software Engineer,Company A,London,90000,4.0
UX Designer,Company A,Berlin,60000,4.5
Data Analyst,Company C,New York,50000,3.0
UX Designer,Company B,New York,60000,5.0
Software Engineer,Company B,Berlin,90000,5.0
UX Designer,Company C,New York,60000,4.5
Data Analyst,Company D,Singapore,80000,3.0
Data Analyst,Company D,San Francisco,50000,3.0
UX Designer,Company D,London,70000,3.0
Data Analyst,Company A,Berlin,80000,4.0
Marketing Specialist,Company C,London,80000,3.0
Software Engineer,Company A,Singapore,60000,3.0
Marketing Specialist,Company A,Berlin,90000,3.0
Financial Analyst,Company D,New York,70000,3.0
UX Designer,Company D,London,90000,5.0
UX Designer,Company B,New York,50000,3.5
Data Analyst,Company D,Berlin,90000,4.5
Marketing Specialist,Company E,London,70000,5.0
Financial Analyst,Company D,London,80000,5.0
Software Engineer,Company C,New York,90000,4.0
Software Engineer,Company B,Singapore,60000,4.5
Financial Analyst,Company A,Berlin,90000,4.0
Marketing Specialist,Company B,San Francisco,50000,4.5
Data Analyst,Company C,Berlin,70000,5.0
Software Engineer,Company E,Singapore,90000,5.0
Data Analyst,Company D,Berlin,70000,5.0
Marketing Specialist,Company C,Berlin,70000,3.0
Data Analyst,Company E,Singapore,90000,5.0
Financial Analyst,Company A,New York,60000,3.5
Financial Analyst,Company E,New York,90000,3.0
Data Analyst,Company A,New York,50000,5.0
Data Analyst,Company B,London,80000,4.0
Financial Analyst,Company B,New York,60000,5.0
Financial Analyst,Company C,Berlin,80000,4.5
Financial Analyst,Company D,New York,60000,5.0
UX Designer,Company D,New York,70000,5.0
Software Engineer,Company D,Berlin,90000,5.0
Financial Analyst,Company D,Berlin,50000,3.0
UX Designer,Company E,London,60000,4.5
Software Engineer,Company E,New York,50000,4.5
UX Designer,Company B,New York,90000,4.5
Software Engineer,Company B,Berlin,80000,3.0
Financial Analyst,Company E,Singapore,90000,4.5
Data Analyst,Company A,Berlin,70000,4.0
Software Engineer,Company E,Berlin,60000,3.5
UX Designer,Company B,San Francisco,90000,5.0
Financial Analyst,Company A,New York,90000,5.0
UX Designer,Company E,Singapore,90000,3.0
UX Designer,Company B,Singapore,50000,5.0
Software Engineer,Company B,London,70000,5.0
Data Analyst,Company D,London,90000,4.5
Data Analyst,Company B,Singapore,80000,3.5
Financial Analyst,Company E,Singapore,50000,5.0
UX Designer,Company D,San Francisco,70000,5.0
Financial Analyst,Company E,San Francisco,80000,3.5
Financial Analyst,Company D,London,70000,5.0
UX Designer,Company D,London,60000,3.5
UX Designer,Company D,London,80000,3.0
Software Engineer,Company E,Singapore,50000,3.5
UX Designer,Company D,London,50000,3.0
Software Engineer,Company B,Berlin,60000,4.5
Marketing Specialist,Company C,New York,60000,4.5
Financial Analyst,Company E,Berlin,50000,4.0
UX Designer,Company E,London,80000,4.5
Financial Analyst,Company C,Berlin,50000,4.5
Data Analyst,Company B,Berlin,80000,4.0
Data Analyst,Company A,London,90000,4.0
Marketing Specialist,Company B,Berlin,50000,4.5
Software Engineer,Company C,London,50000,4.5
Marketing Specialist,Company E,New York,70000,4.5
Software Engineer,Company E,Singapore,60000,5.0
UX Designer,Company C,London,90000,3.5
UX Designer,Company B,New York,70000,3.5
